year,cc,ex.rate
2007,BND,0.663521243827311
2008,BND,0.705645518095744
2009,BND,0.687478321193202
2010,BND,0.73338683788122
2011,BND,0.794962022057246
2012,BND,0.80026888496765
2013,BND,0.799240249127612
2014,BND,0.789235598227474
2015,BND,0.727303408707391
2016,BND,0.723901447802896
2017,BND,0.724146166706472
2018,BND,0.74132561062237
2019,BND,0.733006802721088
2020,BND,0.724824921516542
2021,BND,0.744129210498353
2022,BND,0.725209755249315
2023,BND,0.745681806997687
2024,BND,0.734673928222315
2025,BND,0.730738073807381
2026,BND,0.730611711397699
2027,BND,0.73071129707113
2028,BND,0.730980991038058
1983,BOB,3609
1984,BOB,197.473684210526
1985,BOB,1.71555367709214
1986,BOB,0.521819137749737
1987,BOB,0.486605132823053
1988,BOB,0.425504349435499
1989,BOB,0.37151410115015
1990,BOB,0.315223725959982
1991,BOB,0.278852184821242
1992,BOB,0.255973471427274
1993,BOB,0.234024285539065
1994,BOB,0.216167317991026
1995,BOB,0.208065767023422
1996,BOB,0.196739217305592
1997,BOB,0.190159446739026
1998,BOB,0.181325018153859
1999,BOB,0.1717127668411
2000,BOB,0.161473578801417
2001,BOB,0.151608105595836
2002,BOB,0.139673970572669
2003,BOB,0.130718531920393
2004,BOB,0.126174130353604
2005,BOB,0.124285936850852
2006,BOB,0.125561320137769
2007,BOB,0.128299468978439
2008,BOB,0.139128705652311
2009,BOB,0.14346858133364
2010,BOB,0.14350575879776
2011,BOB,0.145188652004428
2012,BOB,0.145772999775586
2013,BOB,0.145773544294238
2014,BOB,0.145773758355117
2015,BOB,0.14577403949463
2016,BOB,0.145774795018185
2017,BOB,0.145772324787314
2018,BOB,0.14577136945558
2019,BOB,0.145771036884216
2020,BOB,0.145773412560448
2021,BOB,0.145773419621017
2022,BOB,0.145772546800833
2023,BOB,0.145773757234797
2024,BOB,0.145773227312176
2025,BOB,0.145773102896871
2026,BOB,0.145771667157823
2027,BOB,0.145773060165924
2028,BOB,0.145771657476964
1990,BRL,41394.0909090909
1991,BRL,6766.93220338983
1992,BRL,609.020700636943
1993,BRL,31.0912778904665
1994,BRL,1.56494610483654
1995,BRL,1.09188206098653
1996,BRL,0.995768417678351
1997,BRL,0.928339682529679
1998,BRL,0.862280640494837
1999,BRL,0.551288486820936
2000,BRL,0.546626191528576
2001,BRL,0.425595853347115
2002,BRL,0.342424384903176
2003,BRL,0.324940772432259
2004,BRL,0.341866939088239
2005,BRL,0.410780989412968
2006,BRL,0.459702421714499
2007,BRL,0.513594288781219
2008,BRL,0.545327673805389
2009,BRL,0.500804070758227
2010,BRL,0.568395589124645
2011,BRL,0.597304164629214
2012,BRL,0.511770057074496
2013,BRL,0.463596430353251
2014,BRL,0.425001081511347
2015,BRL,0.300218986989204
2016,BRL,0.28657288737393
2017,BRL,0.313343902039031
2018,BRL,0.273685277564412
2019,BRL,0.253519697176799
2020,BRL,0.193977344407065
2021,BRL,0.185378138228714
2022,BRL,0.193641758410218
2023,BRL,0.200337222062612
2024,BRL,0.200475983541484
2025,BRL,0.198512017063146
2026,BRL,0.197400177264264
2027,BRL,0.198692748293281
2028,BRL,0.198288603266991
1980,BSD,1
1981,BSD,1
1982,BSD,1
1983,BSD,1
1984,BSD,1
1985,BSD,1
1986,BSD,1
1987,BSD,1
1988,BSD,1
1989,BSD,1
1990,BSD,1
1991,BSD,1
1992,BSD,1
1993,BSD,1
1994,BSD,1
1995,BSD,1
1996,BSD,1
1997,BSD,1
1998,BSD,1
1999,BSD,1
2000,BSD,1
2001,BSD,1
2002,BSD,1
2003,BSD,1
2004,BSD,1
2005,BSD,1
2006,BSD,1
2007,BSD,1
2008,BSD,1
2009,BSD,1
2010,BSD,1
2011,BSD,1
2012,BSD,1
2013,BSD,1
2014,BSD,1
2015,BSD,1
2016,BSD,1
2017,BSD,1
2018,BSD,1
2019,BSD,1
2020,BSD,1
2021,BSD,1
2022,BSD,1
2023,BSD,1
2024,BSD,1
2025,BSD,1
2026,BSD,1
2027,BSD,1
2028,BSD,1
1980,BTN,0.126934984520124
1981,BTN,0.115451388888889
1982,BTN,0.105740181268882
1983,BTN,0.099016393442623
1984,BTN,0.0878378378378378
1985,BTN,0.0809190809190809
1986,BTN,0.0793237971391417
1987,BTN,0.0772980501392758
1988,BTN,0.0718935748655534
1989,BTN,0.0615272373540856
1990,BTN,0.0571847507331378
1991,BTN,0.043956043956044
1992,BTN,0.0385771543086172
1993,BTN,0.036027988685425
1994,BTN,0.0318181818181818
1995,BTN,0.0318711826762909
1996,BTN,0.0291215170278638
1997,BTN,0.027927405320295
1998,BTN,0.0260790102628989
1999,BTN,0.0234945944313583
2000,BTN,0.0229231019346448
2001,BTN,0.0215542521994135
2002,BTN,0.0204272306450928
2003,BTN,0.0214015789276761
2004,BTN,0.02197467325794
2005,BTN,0.0229432774381016
2006,BTN,0.0217147135904156
2007,BTN,0.0226264923251848
2008,BTN,0.0247729149463254
2009,BTN,0.0209283416410365
2010,BTN,0.0214379846149131
2011,BTN,0.0220530835284934
2012,BTN,0.0198962520491343
2013,BTN,0.0182335837169857
2014,BTN,0.01627009822251
2015,BTN,0.0161142857142857
2016,BTN,0.0150754869952013
2017,BTN,0.0150534811995538
2018,BTN,0.0153496965544244
2019,BTN,0.0141774259761435
2020,BTN,0.0138005335522266
2021,BTN,0.0135641045580279
2022,BTN,0.0132644031018604
2023,BTN,0.0122009938858757
2024,BTN,0.0120690382748871
2025,BTN,0.0119407018492067
2026,BTN,0.0118053485313459
2027,BTN,0.0116701134666967
2028,BTN,0.0115379604352187
1980,BWP,1.33560864618885
1981,BWP,1.13086150490731
1982,BWP,0.934244235695986
1983,BWP,0.864091559370529
1984,BWP,0.658978583196046
1985,BWP,0.462143152668597
1986,BWP,0.538762446657184
1987,BWP,0.62787622322137
1988,BWP,0.523971438286297
1989,BWP,0.526629935720845
1990,BWP,0.539171160942379
1991,BWP,0.477458244380259
1992,BWP,0.449427917620137
1993,BWP,0.392910336610069
1994,BWP,0.372724089635854
1995,BWP,0.360789908394654
1996,BWP,0.302914770630919
1997,BWP,0.274139723179605
1998,BWP,0.238043370630756
1999,BWP,0.216243208692873
2000,BWP,0.195978339599214
2001,BWP,0.171181339352897
2002,BWP,0.158021147593802
2003,BWP,0.202034136709135
2004,BWP,0.213050200512152
2005,BWP,0.195444336228658
2006,BWP,0.171514040669526
2007,BWP,0.162879605364575
2008,BWP,0.146482295448961
2009,BWP,0.139753311509827
2010,BWP,0.147193458586188
2011,BWP,0.146240201296816
2012,BWP,0.130877093920572
2013,BWP,0.119065297371253
2014,BWP,0.111406370399176
2015,BWP,0.0987282292251903
2016,BWP,0.0917356980379277
2017,BWP,0.0966414036856349
2018,BWP,0.0980400057562239
2019,BWP,0.0929724913687493
